index,mod_lectura_critica_punt,eco_condicion_tic
0,9.4,0.0
1,9.3,0.0
2,8.9,0.0
3,10.3,1.0
4,9.7,0.0
5,9.0,1.0
6,9.3,1.0
7,9.8,0.0
8,12.1,2.0
9,10.8,0.0
10,8.8,0.0
11,12.4,0.0
12,10.0,0.0
13,9.7,1.0
14,8.4,1.0
15,9.9,0.0
16,9.6,1.0
17,10.8,0.0
18,8.9,1.0
19,12.4,1.0
20,8.6,0.0
21,9.8,2.0
22,8.8,0.0
23,10.3,0.0
24,11.2,2.0
25,9.7,2.0
26,11.8,1.0
27,9.8,0.0
28,11.0,1.0
29,11.8,0.0
30,10.8,0.0
31,10.8,1.0
32,11.1,0.0
33,9.8,0.0
34,11.0,1.0
35,10.5,2.0
36,10.5,1.0
37,11.2,0.0
38,10.8,0.0
39,11.4,1.0
40,9.8,1.0
41,9.8,1.0
42,9.7,0.0
43,8.1,0.0
44,8.8,0.0
45,10.3,1.0
46,9.4,0.0
47,10.1,1.0
48,11.1,0.0
49,9.8,1.0
50,9.4,0.0
51,8.8,1.0
52,10.0,0.0
53,11.2,0.0
54,11.1,1.0
55,10.3,1.0
56,10.7,1.0
57,11.4,1.0
58,9.6,1.0
59,11.3,0.0
60,9.1,0.0
61,9.9,0.0
62,11.0,0.0
63,11.4,0.0
64,9.1,1.0
65,10.8,0.0
66,8.6,1.0
67,9.8,0.0
68,10.8,1.0
69,9.8,1.0
70,11.4,0.0
71,10.2,0.0
72,9.8,1.0
73,11.0,1.0
74,12.4,0.0
75,9.1,1.0
76,9.1,0.0
77,12.1,2.0
78,9.1,1.0
79,10.8,0.0
80,11.0,0.0
81,9.6,2.0
82,9.7,0.0
83,10.5,0.0
84,10.6,1.0
85,10.8,1.0
86,10.3,1.0
87,11.8,1.0
88,10.1,1.0
89,12.8,0.0
90,10.1,0.0
91,10.6,0.0
92,12.4,0.0
93,9.4,1.0
94,9.8,0.0
95,10.5,1.0
96,9.3,0.0
97,11.3,0.0
98,10.5,1.0
99,12.9,1.0
100,11.3,2.0
101,10.5,1.0
102,10.5,0.0
103,9.7,0.0
104,11.2,0.0
105,9.8,0.0
106,11.3,1.0
107,9.8,0.0
108,9.6,0.0
109,10.2,0.0
110,9.8,0.0
111,10.5,0.0
112,10.8,1.0
113,10.5,0.0
114,12.1,1.0
115,10.1,0.0
116,9.1,0.0
117,10.7,0.0
118,11.5,0.0
119,11.0,1.0
120,9.4,0.0
121,10.8,0.0
122,10.1,0.0
123,9.6,1.0
124,8.8,0.0
125,11.1,0.0
126,10.6,0.0
127,10.5,1.0
128,11.0,0.0
129,10.5,0.0
130,9.9,1.0
131,9.8,0.0
132,10.5,1.0
133,11.4,0.0
134,11.5,0.0
135,10.2,0.0
136,9.8,0.0
137,10.1,1.0
138,11.2,0.0
139,9.6,1.0
140,9.4,0.0
141,9.7,1.0
142,10.0,0.0
143,10.5,0.0
144,10.0,0.0
145,10.8,1.0
146,10.6,1.0
147,10.2,0.0
148,11.6,0.0
149,10.6,0.0
150,9.9,1.0
151,10.8,0.0
152,10.3,0.0
153,9.8,0.0
154,10.7,0.0
155,10.6,0.0
156,10.3,0.0
157,9.4,2.0
158,9.1,1.0
159,11.6,2.0
160,11.6,0.0
161,10.8,1.0
162,10.3,1.0
163,10.0,1.0
164,10.7,1.0
165,10.6,0.0
166,10.8,0.0
167,10.6,0.0
168,9.1,1.0
169,10.6,0.0
170,8.6,0.0
171,11.2,1.0
172,11.4,0.0
173,9.8,0.0
174,8.8,2.0
175,10.6,0.0
176,8.8,1.0
177,9.3,0.0
178,10.3,0.0
179,10.8,0.0
180,11.1,0.0
181,10.5,0.0
182,8.8,0.0
183,10.3,1.0
184,9.7,0.0
185,11.1,0.0
186,10.7,1.0
187,10.3,0.0
188,9.1,1.0
189,10.7,0.0
190,10.1,2.0
191,10.3,0.0
192,11.5,0.0
193,9.3,1.0
194,11.6,0.0
195,9.9,1.0
196,12.1,0.0
197,8.2,1.0
198,8.6,1.0
199,9.8,1.0
200,9.8,1.0
201,11.1,0.0
202,10.7,1.0
203,11.3,0.0
204,10.1,1.0
205,10.8,2.0
206,8.6,0.0
207,10.1,0.0
208,9.8,1.0
209,9.7,2.0
210,10.3,0.0
211,10.2,1.0
212,9.0,0.0
213,11.1,1.0
214,9.8,1.0
215,11.3,0.0
216,10.7,1.0
217,9.1,2.0
218,10.8,0.0
219,9.0,0.0
220,9.8,1.0
221,10.3,2.0
222,9.8,0.0
223,10.8,0.0
224,9.8,1.0
225,9.3,0.0
226,9.3,2.0
227,10.3,1.0
228,12.1,0.0
229,11.6,1.0
230,11.6,0.0
231,10.7,0.0
232,11.8,0.0
233,10.0,0.0
234,11.5,1.0
235,8.1,2.0
236,9.4,1.0
237,11.3,1.0
238,10.3,0.0
239,8.8,1.0
240,9.8,0.0
241,9.7,1.0
242,10.7,0.0
243,9.4,1.0
244,9.4,2.0
245,10.6,1.0
246,10.3,0.0
247,10.5,1.0
248,8.9,1.0
249,11.0,1.0
250,9.6,0.0
251,9.3,0.0
252,11.8,0.0
253,9.0,0.0
254,10.7,0.0
255,12.1,0.0
256,9.1,1.0
257,10.8,1.0
258,9.6,2.0
259,9.7,1.0
260,9.4,0.0
261,10.3,1.0
262,10.3,1.0
263,10.2,1.0
264,10.8,0.0
265,10.3,1.0
266,9.1,0.0
267,10.3,1.0
268,11.4,0.0
269,8.9,2.0
270,9.9,1.0
271,10.5,1.0
272,8.8,1.0
273,9.7,0.0
274,9.4,2.0
275,9.3,1.0
276,11.8,2.0
277,9.9,0.0
278,11.4,1.0
279,9.4,1.0
280,10.8,1.0
281,9.6,0.0
282,11.3,0.0
283,9.8,0.0
284,9.8,0.0
285,10.2,1.0
286,9.6,0.0
287,10.5,0.0
288,9.6,0.0
289,11.0,2.0
290,10.5,1.0
291,11.4,1.0
292,10.5,1.0
293,10.0,0.0
294,9.1,2.0
295,10.5,0.0
296,10.5,2.0
297,10.1,0.0
298,10.8,1.0
299,9.1,1.0
300,10.8,0.0
301,8.4,1.0
302,9.0,2.0
303,9.6,1.0
304,9.3,0.0
305,10.3,0.0
306,8.6,1.0
307,9.7,1.0
308,11.0,1.0
309,10.6,1.0
310,7.7,1.0
311,9.6,1.0
312,11.4,0.0
313,8.6,1.0
314,10.5,1.0
315,9.4,0.0
316,9.8,1.0
317,10.1,1.0
318,8.5,0.0
319,10.0,0.0
320,9.4,2.0
321,10.5,1.0
322,9.0,1.0
323,9.9,0.0
324,10.3,0.0
325,9.4,2.0
326,11.4,2.0
327,8.4,1.0
328,10.3,1.0
329,10.3,1.0
330,10.6,1.0
331,10.7,1.0
332,10.5,0.0
333,9.6,2.0
334,10.8,1.0
335,11.6,0.0
336,10.3,0.0
337,10.3,0.0
338,9.3,0.0
339,10.5,1.0
340,10.5,0.0
341,8.8,1.0
342,9.8,2.0
343,9.6,1.0
344,11.3,0.0
345,9.4,2.0
346,11.0,0.0
347,10.1,0.0
348,11.1,1.0
349,9.8,0.0
350,10.3,0.0
351,10.5,0.0
352,8.6,0.0
353,8.4,1.0
354,10.8,1.0
355,9.9,0.0
356,9.6,0.0
357,11.0,0.0
358,9.4,0.0
359,9.3,0.0
360,10.5,1.0
361,10.0,0.0
362,10.5,0.0
363,9.1,1.0
364,10.0,0.0
365,8.6,0.0
366,9.1,0.0
367,10.3,0.0
368,10.5,0.0
369,11.1,0.0
370,10.5,1.0
